occuranec_date,injury_caused,Location,Humidity,precipitation,temperature,winds
5/1/14,laceration to right hand,Masonboro island,94,1.2,60,11
5/1/14,laceration to right hand,okaloosa island,87,1.3,60,15
5/1/14,laceration to right hand,sunset beach,80,0.9,59,10
5/6/14,laceration to left foot,table beach,92,1.2,59,9
5/11/14,puncture wounds to tigh,folly beach,81,1.3,58,8
5/13/14,laceration and puncture wounds,new smyrna,80,1.3,60,8
5/15/14,calf bitten,Masonboro island,90,1.5,62,8
5/10/14,no attcak,jacksonville beach,82,1,65,13
6/1/14,laceration to leg,atlantic beavch,87,0.7,67,10
7/12/14,laceration to hand,fort lauderdals,94,0.4,68,11
7/14/14,puncture wounds to leg,indialantic,96,1.1,68,12
7/21/14,laceration to knee,sunset beach,95,1.3,68,7
7/27/14,left foot bitten,coligny beach,95,1.3,70,7
7/3/14,righ hand bitten,tybee island,91,0.9,64,8
7/9/14,laceration to foot,table beach,85,1,66,10
8/2/14,foot bitten,fort lauderdals,89,1.2,69,9
8/2/14,laceration to ankle,fort lauderdals,85,0.8,63,9
8/5/14,laceration to foot,okaloosa island,81,1.4,61,12
8/6/14,laceration to right leg,surfside beach,93,1.1,62,13
8/9/14,puncture wounds to foot,ponce inlet,94,1,68,11
8/10/14,puncture wounds and laceration,atlantic beavch,88,1.5,70,10
8/12/14,puncture wounds and laceration,atlantic beavch,79,0.6,66,14
8/24/14,laceration to left foot,bethel shoals,83,1.9,61,8
8/27/14,heel bitten,apalanchicola beach,94,0.4,63,13
8/27/14,laceration to left hand,jacksonville beach,90,0.7,69,9
8/28/14,laceration to foot by hooked shark,ponce inlet,81,1.7,70,10
8/29/14,laceration to shin,Masonboro island,87,1.2,62,7
8/29/14,shark involvement not detected,ssateague national seashore,86,4.3,66,9
8/31/14,injury to left calf,juan ponce de leon island,95,3.2,62,9
8/25/14,laceration to forearm,Masonboro island,98,2.7,69,11
8/25/14,lacerationt o forearm,tybee island,90,2,62,14
5/1/13,laceration to right hand,Masonboro island,94,1.2,60,11
5/1/13,laceration to right hand,okaloosa island,87,1.3,60,15
5/1/13,laceration to right hand,sunset beach,80,0.9,59,10
5/6/13,laceration to left foot,table beach,92,1.2,59,9
5/11/13,puncture wounds to tigh,folly beach,81,1.3,58,8
5/13/13,laceration and puncture wounds,new smyrna,80,1.3,60,8
5/15/13,calf bitten,Masonboro island,90,1.5,62,8
5/10/13,no attcak,jacksonville beach,82,1,65,13
6/1/13,laceration to leg,atlantic beavch,87,0.7,67,10
7/12/13,laceration to hand,fort lauderdals,94,0.4,68,11
7/13/13,puncture wounds to leg,indialantic,96,1.1,68,12
7/21/13,laceration to knee,sunset beach,95,1.3,68,7
7/27/13,left foot bitten,coligny beach,95,1.3,70,7
7/3/13,righ hand bitten,tybee island,91,0.9,64,8
7/9/13,laceration to foot,table beach,85,1,66,10
8/2/13,foot bitten,fort lauderdals,89,1.2,69,9
8/2/13,laceration to ankle,fort lauderdals,85,0.8,63,9
8/5/13,laceration to foot,okaloosa island,81,1.4,61,12
8/6/13,laceration to right leg,surfside beach,93,1.1,62,13
8/9/13,puncture wounds to foot,ponce inlet,94,1,68,11
8/10/13,puncture wounds and laceration,atlantic beavch,88,1.5,70,10
8/12/13,puncture wounds and laceration,atlantic beavch,79,0.6,66,13
8/24/13,laceration to left foot,bethel shoals,83,1.9,61,8
8/27/13,heel bitten,apalanchicola beach,94,0.4,63,13
8/27/13,laceration to left hand,jacksonville beach,90,0.7,69,9
8/28/13,laceration to foot by hooked shark,ponce inlet,81,1.7,70,10
8/29/13,laceration to shin,Masonboro island,87,1.2,62,7
8/29/13,shark involvement not detected,ssateague national seashore,86,4.3,66,9
8/31/13,injury to left calf,juan ponce de leon island,95,3.2,62,9
8/25/13,laceration to forearm,Masonboro island,98,2.7,69,11
8/25/13,lacerationt o forearm,tybee island,90,2,62,13
8/27/13,heel bitten,apalanchicola beach,94,0.4,64,13
8/27/13,laceration to left hand,jacksonville beach,89,0.7,69,9
8/28/13,laceration to foot by hooked shark,ponce inlet,83,1.7,70,10
8/29/13,laceration to shin,Masonboro island,88,1.2,62,7
8/29/13,shark involvement not detected,ssateague national seashore,85,4.3,66,9
8/31/13,injury to left calf,juan ponce de leon island,92,3.2,62,9
8/25/13,laceration to forearm,Masonboro island,97,2.7,69,11
8/25/13,lacerationt o forearm,tybee island,89,2,62,13
